message,timestamp,severity,tags,attributes
,2026-04-26T10:26:38.853166104Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m[Region: asia-southeast1][0m,2026-04-26T10:26:41.705168511Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m=========================,2026-04-26T10:26:41.712894458Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Using Detected Dockerfile,2026-04-26T10:26:41.712933120Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
=========================,2026-04-26T10:26:41.712947022Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[0m,2026-04-26T10:26:41.712951627Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
context: wmxx-xD9L,2026-04-26T10:26:41.712970080Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-04-26T10:26:41.924247247Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:3f7d1cfb1aec9395a27eb81dbb56e3ccac29420b2a6e1873e12ed867cbc98376"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-26T10:26:41.924326356Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-26T10:26:41.918643324Z"",""digest"":""sha256:3f7d1cfb1aec9395a27eb81dbb56e3ccac29420b2a6e1873e12ed867cbc98376"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T10:26:41.918578187Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-26T10:26:41.924347105Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:3f7d1cfb1aec9395a27eb81dbb56e3ccac29420b2a6e1873e12ed867cbc98376"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T10:26:41.918818849Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-26T10:26:41.960853197Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-26T10:26:41.956365736Z"",""digest"":""sha256:3f7d1cfb1aec9395a27eb81dbb56e3ccac29420b2a6e1873e12ed867cbc98376"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T10:26:41.918818849Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jre-alpine,2026-04-26T10:26:41.963732082Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:086ea836daea68de122d356fd00a83ed25f9de03f86f12c21859cbfc57a63266"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T10:26:41.959210673Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jdk,2026-04-26T10:26:41.963810679Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:e93b7ad54590f2713210a5b53cfa3b59e8622f6f150bc1181aeb2f958dc763d7"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T10:26:41.959266195Z"",""type"":""vertex""}"
[auth] library/eclipse-temurin:pull token for registry-1.docker.io,2026-04-26T10:26:42.658759363Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:fc5bde7f13baa037b96e28f7c2a05054538368180b277ee69c448816a06f3db9"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T10:26:42.658420908Z"",""type"":""vertex""}"
[auth] library/eclipse-temurin:pull token for registry-1.docker.io,2026-04-26T10:26:42.658846599Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-26T10:26:42.658455544Z"",""digest"":""sha256:fc5bde7f13baa037b96e28f7c2a05054538368180b277ee69c448816a06f3db9"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T10:26:42.658420908Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jdk,2026-04-26T10:26:44.157480421Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-26T10:26:44.152860865Z"",""digest"":""sha256:e93b7ad54590f2713210a5b53cfa3b59e8622f6f150bc1181aeb2f958dc763d7"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T10:26:41.959266195Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jre-alpine,2026-04-26T10:26:44.338549281Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-26T10:26:44.333947422Z"",""digest"":""sha256:086ea836daea68de122d356fd00a83ed25f9de03f86f12c21859cbfc57a63266"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T10:26:41.959210673Z"",""type"":""vertex""}"
